kopis_id,title,start_date,end_date,venue,genre,poster_url,status,artists,runtime,age_rating,ticket_price,raw_program_info,detail_image_url,reservation_url,region
PF288144,"피아니스트의 방 클로즈업콘서트 ⅩⅤ, 사계酒: 봄, 한 잔 해야지?",2026-04-11,2026-04-11,피아니스트의 방,서양음악(클래식),https://www.kopis.or.kr/upload/pfmPoster/PF_PF288144_260327_111817.png,공연예정,"김홍연, 김나영",1시간 10분,전체 관람가,"전석 50,000원",상세 프로그램은 하단 상세 이미지를 참조해주세요.,"https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF288144_202603271118174411.png, https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF288144_202603271118174310.png",,
PF286329,지브리를 품은 클래식: 초록이 아름다운 오후 [부산],2026-04-25,2026-04-25,해운대문화회관,서양음악(클래식),https://www.kopis.or.kr/upload/pfmPoster/PF_PF286329_260305_101406.jpg,공연예정,"이명로, 신혜원, 박민희, 이지우, 이석민",1시간 30분,만 5세 이상,"전석 30,000원",상세 프로그램은 하단 상세 이미지를 참조해주세요.,"https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF286329_202603051014068364.jpg, https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF286329_202603051014068263.jpg, https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF286329_202603051014068182.jpg, https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF286329_202603051014068021.jpg, https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF286329_202603051014067940.jpg",,
PF286149,오마주 투 쇼팽 (Hommage to Chopin),2026-04-05,2026-04-05,롯데콘서트홀,서양음악(클래식),https://www.kopis.or.kr/upload/pfmPoster/PF_PF286149_260303_152251.gif,공연예정,"임동민, 데이비드 흐리쿨리",1시간 40분,만 7세 이상,"R석 99,000원, S석 88,000원, A석 77,000원","[공연소개]
낭만을 그렸던 작곡가, 프레데릭 쇼팽
그에게 바치는 단 한 번의 헌정!
2005 쇼팽 국제 피아노 콩쿠르 한국인 최초 공동 3위 ‘임동민’
2025 쇼팽 국제 피아노 콩쿠르 파이널리스트 ‘데이비드 흐리쿨리(David Khrikuli)’
오직 쇼팽의, 쇼팽에 의한, 쇼팽만을 위한 특별한 헌정 무대!

[PROGRAM]
David Khrikuli
쇼팽 – 폴로네이즈 올림 바단조, 작품번호 44
Chopin – Polonaise in F-sharp minor, Op.44

쇼팽 – 즉흥곡 3번 내림 사장조, 작품번호 51
Chopin – Impromptu No.3 in G-flat major, Op.51

쇼팽 – 왈츠 2번 내림 가장조, 작품번호 42
Chopin – Waltz in A-flat major, Op.42

쇼팽 – 프렐류드 올림 다단조, 작품번호 45
Chopin – Prelude in C-sharp minor, Op.45 

쇼팽 – 스케르초 2번 내림 나단조, 작품번호 31
Chopin – Scherzo No.2 in B-flat minor, Op.31

쇼팽 – 마주르카 다단조, 작품번호 56-3
Chopin – Mazurka in C minor, Op.56, No.3

쇼팽 – 스케르초 4번 마장조, 작품번호 54
Chopin – Scherzo No.4 in E major, Op.54

임동민
쇼팽 – 녹턴 1번 바장조, 작품번호 15-1
Chopin – Nocturne No.1 in F major, Op.15, No.1

쇼팽 – 녹턴 7번 올림 다단조, 작품번호 27-1
Chopin – Nocturne No.7 in C-sharp minor, Op.27, No.1

쇼팽 – 녹턴 16번 내림 마장조, 작품번호 55-2
Chopin – Nocturne No.16 in E-flat major, Op.55, No.2

쇼팽 – 녹턴 15번 바단조, 작품번호 55-1
Chopin – Nocturne No.15 in F minor, Op.55, No.1

쇼팽 – 녹턴 17번 나장조, 작품번호 62-1
Chopin – Nocturne No.17 in B major, Op.62, No.1 

* 본 프로그램은 연주자의 사정에 의해 예고없이 변경될 수 있습니다.",https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF286149_202603030322519870.gif,,
PF288648,윤덕희 귀국 바이올린 독주회,2026-05-12,2026-05-12,금호아트홀 연세,서양음악(클래식),https://www.kopis.or.kr/upload/pfmPoster/PF_PF288648_260403_150342.gif,공연예정,"윤덕희, 이미연",1시간 30분,만 7세 이상,"전석 20,000원",상세 프로그램은 하단 상세 이미지를 참조해주세요.,https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF288648_202604030303423060.jpg,놀유니버스(http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26004861),서울
PF288571,"위클리 클래식 페스티벌, 사랑의 언어: 앙상블 릴로 [제주 서귀포]",2026-05-23,2026-05-23,끌로드아트홀,서양음악(클래식),https://www.kopis.or.kr/upload/pfmPoster/PF_PF288571_260403_102447.gif,공연예정,"윤태형, 김우영, 윤소영, 김세영",1시간 10분,전체 관람가,"전석 20,000원",상세 프로그램은 하단 상세 이미지를 참조해주세요.,https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF288571_202604031024475670.png,놀유니버스(http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26003350),제주
PF288451,"토요 클래식의 밤, 해설이 있는 클래식: 노아르 앙상블의 Tico Tico",2026-04-18,2026-04-18,콘서트홀 나누,서양음악(클래식),https://www.kopis.or.kr/upload/pfmPoster/PF_PF288451_260401_140547.gif,공연예정,"김지혜, 윤정인, 강석원, 최윤호, 이석재",1시간,전체 관람가,"전석 30,000원",상세 프로그램은 하단 상세 이미지를 참조해주세요.,"https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF288451_202604010205471094.jpg, https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF288451_202604010205471023.jpg, https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF288451_202604010205470882.jpg, https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF288451_202604010205470821.jpg, https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF288451_202604010205470720.jpg",네이버N예약(https://booking.naver.com/booking/12/bizes/1269745),서울
PF287838,"낭만주의 거장, 말러",2026-05-15,2026-05-15,롯데콘서트홀,서양음악(클래식),https://www.kopis.or.kr/upload/pfmPoster/PF_PF287838_260323_171921.gif,공연예정,"김광현, 임지영 등",2시간,만 7세 이상,"R석 120,000원, S석 90,000원, A석 60,000원, B석 40,000원",상세 프로그램은 하단 상세 이미지를 참조해주세요.,https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF287838_202603230519217830.jpg,"놀유니버스(http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26003793), 롯데콘서트홀(http://www.lotteconcerthall.com/kor/Performance/ConcertDetails/261030)",서울
PF287681,"온: 콘서트, 연음: 낭만주의에서 인상주의까지",2026-04-25,2026-04-25,온쉼표,서양음악(클래식),https://www.kopis.or.kr/upload/pfmPoster/PF_PF287681_260323_112815.png,공연예정,"신송정, 정소연, 김수민, 김경준, 이수빈 등",1시간 30분,만 7세 이상,"전석 25,000원",상세 프로그램은 하단 상세 이미지를 참조해주세요.,"https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF287681_202603231128159142.png, https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF287681_202603231128159091.png, https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF287681_202603231128159030.png",네이버N예약(https://booking.naver.com/booking/12/bizes/1246855),서울
PF287569,어린이날 기념 지브리 & 디즈니 OST 콘서트 [광주],2026-05-05,2026-05-05,광주 예술의 전당,서양음악(클래식),https://www.kopis.or.kr/upload/pfmPoster/PF_PF287569_260320_111220.gif,공연예정,"강지성, 김수, 조세형 등",2시간,만 4세 이상,"VIP석 50,000원, R석 40,000원, S석 30,000원",상세 프로그램은 하단 상세 이미지를 참조해주세요.,https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF287569_202603201112210050.jpg,놀유니버스(http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26004071),광주
PF287063,지브리 & 디즈니 OST 콘서트 [인천],2026-05-16,2026-05-16,아트센터 인천,서양음악(클래식),https://www.kopis.or.kr/upload/pfmPoster/PF_PF287063_260313_152730.gif,공연예정,"이상은, 김회진, 오춘화, 조세형, 강지성, 최영선 등",2시간,만 5세 이상,"VIP석 110,000원, R석 90,000원, S석 60,000원, A석 40,000원",상세 프로그램은 하단 상세 이미지를 참조해주세요.,https://www.kopis.or.kr/upload/pfmIntroImage/PF_PF287063_202603130327306480.jpg,놀유니버스(http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26003596),인천
